           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
          78.9796         -79.1327                5      -0.00286167      0.000753807       -0.0115924       0.00338678       -0.0153813       0.00495671
          82.6531         -79.1327                5      -0.00133715       0.00035093       -0.0117314       0.00337629       -0.0193205       0.00603932
          86.3265         -79.1327                5      -0.00195803      0.000497069        -0.011495       0.00332621       -0.0220749       0.00673215
               90         -79.1327                5       -0.0023687       0.00061083       -0.0110312       0.00319991       -0.0235499       0.00706226
              -90         -75.7653                5        0.0117665      -0.00333787        0.0476416       -0.0135807         0.506251        -0.144091
         -86.3265         -75.7653                5        0.0347982      -0.00990174        0.0626835       -0.0178403         0.675502        -0.192257
         -82.6531         -75.7653                5        0.0300487      -0.00850704        0.0551506       -0.0156489         0.825404         -0.23489
         -78.9796         -75.7653                5        0.0166441      -0.00460672        0.0816631       -0.0231642         0.908532        -0.258561
         -75.3061         -75.7653                5       0.00664501      -0.00166965          0.10998       -0.0312034         0.984604         -0.28022
         -71.6327         -75.7653                5       5.1369e-05      0.000304203         0.140102       -0.0397665          1.05362        -0.299869
         -67.9592         -75.7653                5      -0.00920062        0.0030297         0.141044       -0.0399759          1.17077         -0.33318
         -64.2857         -75.7653                5       0.00767852      -0.00168651         0.149542       -0.0423194          1.29895        -0.369613
         -60.6122         -75.7653                5        0.0566262       -0.0155326          0.17482       -0.0494367          1.42989        -0.406837
         -56.9388         -75.7653                5         0.168694       -0.0473076          0.22511       -0.0637263          1.65084         -0.46967
         -53.2653         -75.7653                5         0.168556       -0.0470923         0.158754       -0.0446509           1.8545        -0.526713
         -49.5918         -75.7653                5         0.101857       -0.0278951         0.100307       -0.0275357          2.03165        -0.575938
         -45.9184         -75.7653                5         0.126985       -0.0354077         0.375794        -0.105336          2.09279        -0.592611
         -42.2449         -75.7653                5         0.144117       -0.0402747         0.509435        -0.141643          2.09752        -0.591876
         -38.5714         -75.7653                5         0.121272       -0.0335531         0.514744        -0.141297          2.06893        -0.581478
          -34.898         -75.7653                5        0.0493146       -0.0129827         0.482872        -0.131641          2.05869         -0.57777
         -31.2245         -75.7653                5       -0.0147961        0.0053773         0.428909        -0.115699          2.04596          -0.5733
          -27.551         -75.7653                5       -0.0710603         0.021527         0.352857       -0.0934703          2.03073        -0.568071
         -23.8776         -75.7653                5       -0.0941539        0.0276956         0.312967       -0.0841446          1.88992        -0.526569
         -20.2041         -75.7653                5        -0.126675        0.0365745          0.31987        -0.086988          1.68473        -0.466355
